dataset,scale,retriever,metric,without_leak_mean,without_leak_ci_low,without_leak_ci_high,with_leak_mean,with_leak_ci_low,with_leak_ci_high,delta,n
mind,small,bm25,AUC,0.5528884968843847,0.5443483728863159,0.561160595949041,0.5526193392898849,0.5441053646793724,0.5609667370088526,-0.0002691575944997471,5000
mind,small,bm25,MRR,0.2933873040042739,0.2849316968720081,0.3025127617272229,0.2815845501440139,0.2735014977050148,0.29021326021585864,-0.011802753860259974,5000
mind,small,bm25,nDCG@5,0.2687998151389995,0.2592247673990601,0.27857327478651805,0.26190539358731824,0.2529370980709749,0.27133323252820785,-0.00689442155168124,5000
mind,small,bm25,nDCG@10,0.3307519512213002,0.3224294765887506,0.339752054151484,0.3249553428874007,0.31653457434102034,0.33359429752541403,-0.0057966083338995,5000
mind,small,embeddings,AUC,0.6332676030645196,0.625145623068268,0.6416491252029305,0.631586108553803,0.6234617162500916,0.6399402160448234,-0.0016814945107165302,5000
mind,small,embeddings,MRR,0.3402171632793251,0.3315416972543293,0.3491843079891597,0.33671029813517345,0.3279800138620369,0.3455642844825926,-0.0035068651441516607,5000
mind,small,embeddings,nDCG@5,0.324704449888826,0.3151007633545145,0.3344953532541154,0.3207156837395966,0.3110828136383662,0.33026982425020207,-0.003988766149229439,5000
mind,small,embeddings,nDCG@10,0.38428459635184625,0.37554539821837757,0.393230724473365,0.38214120263631907,0.3734769171034494,0.3909022281295071,-0.0021433937155271865,5000
ebnerd,demo,bm25,AUC,0.4943771143587937,0.48501009506456155,0.5036722290769461,0.48898239129910126,0.4803325751962872,0.4980140562698414,-0.005394723059692463,5000
ebnerd,demo,bm25,MRR,0.3122323790684073,0.30460746471614597,0.3206567945872558,0.2973412024366573,0.28959034639041614,0.3047246994393522,-0.014891176631749992,5000
ebnerd,demo,bm25,nDCG@5,0.34130675574348723,0.3320797041495001,0.35038502418856726,0.3269060633624932,0.3175081990543262,0.3355444966241569,-0.014400692380994007,5000
ebnerd,demo,bm25,nDCG@10,0.4269537947556037,0.4193861165205915,0.4344203968805664,0.41580352893182027,0.4081957574884982,0.42291057586108155,-0.011150265823783423,5000
ebnerd,demo,embeddings,AUC,0.5390981098568987,0.530821919852464,0.5479985717104124,0.5434361416957078,0.5345434863443893,0.5529720926250463,0.004338031838809098,5000
ebnerd,demo,embeddings,MRR,0.3383515234780983,0.33027947474924174,0.34588221318664775,0.3430919161165025,0.33449973901811664,0.35129286331996246,0.0047403926384042006,5000
ebnerd,demo,embeddings,nDCG@5,0.37513530110813725,0.36538360380673984,0.38420728211263816,0.3784513346993305,0.3686528594615743,0.3874337810248256,0.003316033591193257,5000
ebnerd,demo,embeddings,nDCG@10,0.4535978231691417,0.4457433314709584,0.4611824059374664,0.458406020828729,0.450191422517241,0.4663392375358712,0.004808197659587288,5000
