dataset,scale,baseline,metric,delta_mean,delta_ci_low,delta_ci_high,significant,n
mind,small,bm25,AUC,0.040857062946117025,0.029323979995035266,0.05169325505232211,true,5000
mind,small,bm25,MRR,0.04612164524822642,0.036757398544644285,0.05587064602327081,true,5000
mind,small,bm25,nDCG@5,0.04934143547265328,0.039934929766136676,0.05947135532094808,true,5000
mind,small,bm25,nDCG@10,0.042567897578030645,0.034361620880327806,0.051009092855916226,true,5000
mind,small,embeddings,AUC,-0.039522043234017916,-0.049379685954317507,-0.03054331204773698,true,5000
mind,small,embeddings,MRR,-0.0007082140268248259,-0.009295107951459356,0.008702584075575375,false,5000
mind,small,embeddings,nDCG@5,-0.0065631992771732215,-0.01576505014143081,0.00248502739095543,false,5000
mind,small,embeddings,nDCG@10,-0.010964747552515393,-0.01889442630307838,-0.0029203533890990903,true,5000
mind,small,hybrid,AUC,-0.039522043234017916,-0.049379685954317507,-0.03054331204773698,true,5000
mind,small,hybrid,MRR,-0.0007082140268248259,-0.009295107951459356,0.008702584075575375,false,5000
mind,small,hybrid,nDCG@5,-0.0065631992771732215,-0.01576505014143081,0.00248502739095543,false,5000
mind,small,hybrid,nDCG@10,-0.010964747552515393,-0.01889442630307838,-0.0029203533890990903,true,5000
