dataset,scale,metric,p50,p99,n
mind,small,retrieval_ms,2.915749908424914,3.5138354892842445,200
mind,small,feature_build_ms,2.63835396617651,3.2666701637208457,200
mind,small,gbdt_score_ms,1.0538964997977018,1.1715137655846772,200
mind,small,total_ms,6.618416518904269,7.740714491810648,200
mind,small,bm25_index_mb,42.495077,42.495077,1
mind,small,embedding_matrix_mb,100.205568,100.205568,1
mind,small,feature_store_mb,1.236262,1.236262,1
mind,small,single_core_qps,129.18704094537503,129.18704094537503,1
mind,small,cost_per_1k_queries_usd,0.0001075099234973701,0.0001075099234973701,1
ebnerd,demo,retrieval_ms,0.6059585139155388,0.7341554923914358,200
ebnerd,demo,feature_build_ms,1.773270545527339,2.0533475931733847,200
ebnerd,demo,gbdt_score_ms,0.9282294195145369,1.0078958119265735,200
ebnerd,demo,total_ms,3.3183335326611996,3.643515112344174,200
ebnerd,demo,bm25_index_mb,5.897892,5.897892,1
ebnerd,demo,embedding_matrix_mb,18.089472,18.089472,1
ebnerd,demo,feature_store_mb,0.251171,0.251171,1
ebnerd,demo,single_core_qps,274.46023116852604,274.46023116852604,1
ebnerd,demo,cost_per_1k_queries_usd,0.00005060437656033575,0.00005060437656033575,1
